state,window_date,window_days,winning_size,frequency,population_variance
ARUNACHAL PRADESH,2022-05-27,10,M,6,78405.2222222223
ARUNACHAL PRADESH,2022-05-28,10,M,6,78405.2222222223
ARUNACHAL PRADESH,2022-05-29,10,M,6,78405.2222222223
ARUNACHAL PRADESH,2022-05-30,10,M,5,92613.59999999998
ARUNACHAL PRADESH,2022-05-31,10,M,4,106414.1875
ARUNACHAL PRADESH,2022-06-01,10,M,4,106414.1875
ARUNACHAL PRADESH,2022-06-02,10,M,3,6338.888888888876
ARUNACHAL PRADESH,2022-06-03,10,L,3,65078.0
ARUNACHAL PRADESH,2022-06-04,10,L,3,65078.0
ARUNACHAL PRADESH,2022-06-05,10,XS,3,77702.88888888876
ARUNACHAL PRADESH,2022-06-06,10,L,4,64192.25
ARUNACHAL PRADESH,2022-06-07,10,L,4,64192.25
ARUNACHAL PRADESH,2022-06-08,10,L,4,64192.25
ARUNACHAL PRADESH,2022-06-09,10,L,4,64192.25
ARUNACHAL PRADESH,2022-06-10,10,L,6,55615.80555555556
ARUNACHAL PRADESH,2022-06-11,10,L,6,55615.80555555556
ARUNACHAL PRADESH,2022-06-12,10,L,5,56338.96000000002
ARUNACHAL PRADESH,2022-06-13,10,L,6,65456.0
ARUNACHAL PRADESH,2022-06-14,10,L,7,114741.55102040811
ARUNACHAL PRADESH,2022-06-15,10,L,7,114741.55102040811
ARUNACHAL PRADESH,2022-06-16,10,L,6,74566.88888888888
ARUNACHAL PRADESH,2022-06-17,10,L,6,74566.88888888888
ARUNACHAL PRADESH,2022-06-18,10,L,6,74566.88888888888
ARUNACHAL PRADESH,2022-06-19,10,L,6,74566.88888888888
ARUNACHAL PRADESH,2022-06-20,10,L,4,46163.1875
ARUNACHAL PRADESH,2022-06-21,10,L,4,46163.1875
ARUNACHAL PRADESH,2022-06-22,10,L,4,46163.1875
ARUNACHAL PRADESH,2022-06-23,10,S,2,1806.25
ARUNACHAL PRADESH,2022-06-24,10,S,2,1806.25
ARUNACHAL PRADESH,2022-06-25,10,S,2,0.0
ARUNACHAL PRADESH,2022-06-26,10,S,2,0.0
ARUNACHAL PRADESH,2022-06-27,10,S,2,0.0
ARUNACHAL PRADESH,2022-06-28,10,M,3,45784.888888888876
ARUNACHAL PRADESH,2022-06-29,10,M,3,45784.888888888876
ARUNACHAL PRADESH,2022-06-30,10,M,3,45784.888888888876
ARUNACHAL PRADESH,2022-07-01,10,M,3,45784.888888888876
ARUNACHAL PRADESH,2022-07-02,10,M,3,45784.888888888876
ARUNACHAL PRADESH,2022-07-03,10,M,3,45784.888888888876
ARUNACHAL PRADESH,2022-07-04,10,M,3,45784.888888888876
ARUNACHAL PRADESH,2022-07-05,10,L,2,16002.25
ARUNACHAL PRADESH,2022-07-06,10,L,1,0.0
ARUNACHAL PRADESH,2022-07-07,10,M,1,0.0
ASSAM,2022-04-02,10,L,6,34604.80555555562
ASSAM,2022-04-03,10,L,11,25740.181818181823
ASSAM,2022-04-04,10,L,13,57595.13609467447
ASSAM,2022-04-05,10,M,18,67660.9783950618
ASSAM,2022-04-06,10,M,26,70211.73520710052
ASSAM,2022-04-07,10,L,35,81199.43673469382
ASSAM,2022-04-08,10,L,36,79422.63580246916
ASSAM,2022-04-09,10,S,40,65652.20937499998
ASSAM,2022-04-10,10,L,44,70048.13378099172
ASSAM,2022-04-11,10,L,48,71408.3125
ASSAM,2022-04-12,10,S,48,75507.0399305555
ASSAM,2022-04-13,10,S,45,74454.15506172838
ASSAM,2022-04-14,10,L,50,73290.68839999998
ASSAM,2022-04-15,10,L,48,74095.97873263888
ASSAM,2022-04-16,10,L,46,77078.99810964073
ASSAM,2022-04-17,10,M,43,46679.86695511092
ASSAM,2022-04-18,10,M,46,53387.54064272216
ASSAM,2022-04-19,10,M,43,54307.49269875605
ASSAM,2022-04-20,10,M,43,59940.341806381824
ASSAM,2022-04-21,10,M,42,43197.42630385485
ASSAM,2022-04-22,10,M,46,40504.63516068045
ASSAM,2022-04-23,10,M,52,47832.051405325416
ASSAM,2022-04-24,10,M,55,50854.70876033057
ASSAM,2022-04-25,10,M,48,52611.164930555504
